age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,zone,dist_group,main_mode,share
,1500 - 1750,,,,,,,10000 - 20000,car,0.040298238742463015
,1500 - 1750,,,,,,,10000 - 20000,pt,0.015055073948408335
,1500 - 1750,,,,,,,10000 - 20000,ride,0.008008359539667012
,1500 - 1750,,,,,,,10000 - 20000,walk,0.0
,1500 - 1750,,,,,,,20000+,bike,0.0
,1500 - 1750,,,,,,,20000+,car,0.015006652180504175
,1500 - 1750,,,,,,,20000+,pt,0.005022049345672111
,1500 - 1750,,,,,,,20000+,ride,0.0025696392318030107
,1500 - 1750,,,,,,,20000+,walk,0.0
,1750 - 2000,,,,,,,0 - 1000,bike,0.04535662783854988
,1750 - 2000,,,,,,,0 - 1000,car,0.009383081879722912
,1750 - 2000,,,,,,,0 - 1000,pt,0.0022034714814945545
,1750 - 2000,,,,,,,0 - 1000,ride,0.005131033193212437
,1750 - 2000,,,,,,,0 - 1000,walk,0.19023382977431516
,1750 - 2000,,,,,,,1000 - 2000,bike,0.061253988541000975
,1750 - 2000,,,,,,,1000 - 2000,car,0.033572390580886236
,1750 - 2000,,,,,,,1000 - 2000,pt,0.01287189463433504
,1750 - 2000,,,,,,,1000 - 2000,ride,0.02199924531088797
,1750 - 2000,,,,,,,1000 - 2000,walk,0.05360271107558775
,1750 - 2000,,,,,,,2000 - 5000,bike,0.04491586925141349
,1750 - 2000,,,,,,,2000 - 5000,car,0.08510513999603157
,1750 - 2000,,,,,,,2000 - 5000,pt,0.08922735159393307
,1750 - 2000,,,,,,,2000 - 5000,ride,0.029738477594711155
,1750 - 2000,,,,,,,2000 - 5000,walk,0.007048072292071139
,1750 - 2000,,,,,,,5000 - 10000,bike,0.04319606566661102
,1750 - 2000,,,,,,,5000 - 10000,car,0.08166268261739144
,1750 - 2000,,,,,,,5000 - 10000,pt,0.058879695363136114
,1750 - 2000,,,,,,,5000 - 10000,ride,0.015314134862761914
,1750 - 2000,,,,,,,5000 - 10000,walk,0.002391699595284451
,1750 - 2000,,,,,,,10000 - 20000,bike,0.0066075568611356356
,1750 - 2000,,,,,,,10000 - 20000,car,0.03685692594873501
,1750 - 2000,,,,,,,10000 - 20000,pt,0.005266232289547165
