dist,walk,bike,car,pt,ride
13400,0.0,0.13980090111438365,0.5830604300472565,0.17163875465268752,0.1054999141856724
13500,0.0,0.14492008983357202,0.5763143233330453,0.15108422878362437,0.12768135804975816
13600,0.0,0.1408765445532507,0.5730629747681896,0.14019406641425164,0.145866414264308
13700,0.0,0.1285721654739967,0.5695210529251786,0.1362368429517483,0.16566993864907648
13800,0.0,0.11352900091499521,0.5636738642881939,0.1352627296020731,0.18753440519473794
13900,0.0,0.10381614678582166,0.5572857242999328,0.13457089179844325,0.20432723711580209
14000,0.0,0.10474668798253797,0.5459974111620071,0.1367023871946475,0.21255351366080744
14100,0.0,0.1075452096392893,0.5394867521826695,0.1406849871111281,0.21228305106691303
14200,0.0,0.10631837682581217,0.5490614924688724,0.13938954370433848,0.20523058700097707
14300,0.0,0.10871164080397153,0.5649754327304098,0.12955879375137908,0.19675413271423955
14400,0.0,0.11415628861669111,0.5819992398288995,0.11346906021889658,0.1903754113355128
14500,0.0,0.12158135186498369,0.60338612148064,0.09638212127985994,0.17865040537451643
14600,0.0,0.12594931177927152,0.6367418878792077,0.08763357043141547,0.14967522991010537
14700,0.0,0.11927280615470627,0.6833601805382328,0.08405631747379827,0.11331069583326275
14800,0.0,0.10583894214451144,0.7277929892175322,0.0844498778214259,0.0819181908165304
14900,0.0,0.09388046369755236,0.7483245571618974,0.09846140901395649,0.05933357012659375
15000,0.0,0.08128892420480459,0.7459640058766408,0.12897020484982952,0.04377686506872512
15100,0.0,0.06346982325984869,0.7486408976947536,0.1551524126775224,0.03273686636787536
15200,0.0,0.04140731510149349,0.7597768573273462,0.16640059225112303,0.032415235320037226
15300,0.0,0.023373648987177028,0.7713959085614657,0.16631752517580134,0.03891291727555609
15400,0.0,0.014682855217524191,0.7745905315526627,0.16418469303106842,0.046541920198744764
15500,0.0,0.016986296160622583,0.7574717668230129,0.17067450749873359,0.05486742951763084
15600,0.0,0.02379296268395608,0.7312500008943078,0.18169104616233506,0.06326599025940108
15700,0.0,0.030567301646534255,0.7123872487090595,0.18749335258198035,0.06955209706242592
15800,0.0,0.03572000001691093,0.709237991596111,0.18200937375517579,0.0730326346318023
15900,0.0,0.039790894349594715,0.7138928214794539,0.17115970431083724,0.07515657986011412
16000,0.0,0.04319032303306202,0.7174397803078516,0.16353182846045025,0.07583806819863605
16100,0.0,0.04579522174448946,0.709654124338666,0.16918759780878315,0.0753630561080613
16200,0.0,0.046168384397066664,0.6980491735839017,0.18416548193786067,0.07161696008117094
16300,0.0,0.04129664797843684,0.7091498919518276,0.1873344536392427,0.06221900643049276
16400,0.0,0.03213407279340929,0.746046077279474,0.16923167735785904,0.05258817256925756
16500,0.0,0.02277777552108843,0.7961523987135357,0.1355364471948631,0.045533378570512796
16600,0.0,0.012193018306341218,0.8434459260017038,0.10422847569617412,0.040132579995780994
16700,0.0,0.0037846198817846244,0.8569896313559923,0.09958912311046363,0.03963662565175937
16800,0.0,0.00268189407213159,0.8425964292274666,0.1111467400915779,0.043574936608824014
16900,0.0,0.004007122656694967,0.8201017008690104,0.12824780990330995,0.04764336657098479
17000,0.0,0.004822135544422129,0.8006975152395833,0.14466510358288218,0.04981524563311216
17100,0.0,0.005323646332937646,0.7774614236954241,0.16602240036289598,0.051192529608742106
17200,0.0,0.005794069407177766,0.7456436040561429,0.19594533584300994,0.05261699069366938
17300,0.0,0.007376534923776258,0.7034511036389369,0.23315453887731447,0.05601782255997241
17400,0.0,0.017727860063769304,0.648324447716762,0.274773271264797,0.059174420954671715
17500,0.0,0.05247469952642534,0.579999797464858,0.30868063803351875,0.05884486497519799
17600,0.0,0.10077593999869107,0.5356754556227149,0.3115960986457364,0.05195250573285757
17700,0.0,0.1434493404807074,0.5199905414676151,0.2927611340694351,0.04379898398224241
17800,0.0,0.17561078392181223,0.527586597976362,0.26516253059639455,0.03164008750543121
17900,0.0,0.20720025443452825,0.5322557162374898,0.24458887157879947,0.015955157749182495
18000,0.0,0.2436399934550424,0.5261225284149049,0.22710334297035467,0.0031341351596980245
18100,0.0,0.2591490472328734,0.547037209516385,0.19381374325074152,0.0
18200,0.0,0.2500151139984792,0.5783398890095972,0.1716449969919236,0.0
18300,0.0,0.22184594449050862,0.5991190449297914,0.1790350105797,0.0
18400,0.0,0.18431164442024878,0.6040665554684022,0.211621800111349,0.0
18500,0.0,0.14811430477468748,0.5912093403645908,0.2566285925404302,0.00404776232029141
18600,0.0,0.12087518451305183,0.5621991688002648,0.29664691620892997,0.020278730477753443
18700,0.0,0.10196736449190047,0.5379991896527644,0.31934085414805485,0.04069259170728031
18800,0.0,0.07811668581035164,0.5499670082579212,0.31679230689583904,0.05512399903588818
18900,0.0,0.05072431476723142,0.5792826170001302,0.3067561476252733,0.06323692060736524
19000,0.0,0.02423860944661147,0.613964649694063,0.29383538483733734,0.0679613560219883
19100,0.0,0.004905087032826898,0.6481620465120089,0.27676093795057227,0.07017192850459192
19200,0.0,0.0,0.6672282438023247,0.26324624279393954,0.06952551340373571
19300,0.0,0.0,0.6899008090621002,0.24584474706051496,0.06425444387738502
19400,0.0,0.016715815680669658,0.7082810415445571,0.22224648541853453,0.052756657356238634
19500,0.0,0.08195261221470596,0.6872160412091564,0.19321944315487957,0.0376119034212583
19600,0.0,0.1692026826031583,0.6344597823580637,0.16539190122781416,0.030945633810963866
19700,0.0,0.24826139413440956,0.5691992252650674,0.14162345234651702,0.04091592825400608
19800,0.0,0.30278173086435783,0.5096474461869046,0.12362794591898904,0.06394287702974856
19900,0.0,0.3299337267448316,0.4705501677830896,0.11451264757420906,0.08500345789786976
20000,0.0,0.3350334526022545,0.4665068805446185,0.10244271366871593,0.09601695318441113
20100,0.0,0.33304433510231635,0.4852848842985883,0.08302969706727441,0.098641083531821
20200,0.0,0.3246453479213622,0.5192256757947411,0.058407614239709076,0.09772136204418774
20300,0.0,0.29136508557154467,0.5744064064017869,0.041008190879378556,0.0932203171472899
20400,0.0,0.23159961229393453,0.6385374587272198,0.04578883316063046,0.08407409581821518
20500,0.0,0.1542661890490555,0.7169072666326217,0.05998321266243513,0.06884333165588757
20600,0.0,0.08765123063418598,0.7942495373020086,0.06845074671338275,0.04964848535042263
20700,0.0,0.06502721240233114,0.8381905802787402,0.06398846378076431,0.03279374353816449
20800,0.0,0.058464139082339446,0.8615717963298172,0.05321100238175867,0.02675306220608473
20900,0.0,0.0519816997921078,0.8773293827896633,0.042912866074694536,0.027776051343534485
21000,0.0,0.04324018312618529,0.8908623554897983,0.036607107123535064,0.02929035426048131
21100,0.0,0.030379578663191735,0.9056640008206355,0.03379362942666376,0.03016279108950899
21200,0.0,0.014822095421666872,0.9255888419275018,0.029008992895805524,0.03058006975502593
21300,0.0,0.015842432470739003,0.9357022156269319,0.019862850937351358,0.028592500964977778
21400,0.0,0.06358954172947069,0.9020274424907594,0.011042528234489361,0.023340487545280637
21500,0.0,0.13192894530287935,0.8410096986253758,0.011162255672493744,0.01589910039925118
21600,0.0,0.19754591713027755,0.7737650066139571,0.020872640685683626,0.007816435570081853
21700,0.0,0.24947998811340819,0.7159744908847208,0.03290740400034909,0.001638117001521962
21800,0.0,0.2814617805473726,0.6762773019675963,0.04226091748503111,0.0
21900,0.0,0.29549290338904227,0.6572041011543526,0.0473029954566052,0.0
22000,0.0,0.30339067636733735,0.6469125494380131,0.0496967741946496,0.0
22100,0.0,0.30079370214565654,0.647141885872031,0.052064411982312445,0.0
22200,0.0,0.2760689983123087,0.6701101327346579,0.053820868953033375,0.0
22300,0.0,0.21636277356771885,0.7315082780422694,0.05212894839001177,0.0
22400,0.0,0.12047185749399288,0.8365134270978642,0.04301471540814282,0.0
22500,0.0,0.026844531263208175,0.9485247359313516,0.024630732805440262,0.0
22600,0.0,0.0,0.9878590959686381,0.006257601276166652,0.0058833027551952865
22700,0.0,0.0,0.96940238439783,0.0034343590170573366,0.027163256585112833
22800,0.0,0.0,0.9386801944032828,0.01293935005002657,0.04838045554669073
22900,0.0,0.0,0.915814458296163,0.023523476035691174,0.06066206566814585
23000,0.0,0.0,0.9011863372685256,0.031934097783348006,0.06687956494812639
23100,0.0,0.0,0.8906503840740884,0.04111427925566756,0.06823533667024406
23200,0.0,0.0,0.8793675303535728,0.05670665704202494,0.06392581260440221
23300,0.0,0.0,0.8654443326905704,0.077089885603897,0.057465781705532536
23400,0.0,0.0,0.8385413560388806,0.11000992453833164,0.051448719422787746
23500,0.0,0.0,0.7966279757365373,0.15293391146593802,0.05043811279752464
23600,0.0,0.0,0.7463938419609886,0.19811515213616832,0.05549100590284302
23700,0.0,0.0,0.6932936352102449,0.24349843986177236,0.06320792492798284
23800,0.0,0.0,0.6405893990135536,0.28637355390701014,0.07303704707943617
23900,0.0,0.0,0.5878218324027863,0.32468549421857384,0.08749267337863989
24000,0.0,0.0,0.5350067336584743,0.36353035782179877,0.10146290851972703
24100,0.0,0.0,0.4633115989455026,0.4198542555657795,0.11683414548871786
24200,0.0,0.0,0.37065954662752876,0.49339579064977546,0.13594466272269573
24300,0.0,0.0,0.2781323050432011,0.5760290874992461,0.14583860745755295
24400,0.0,0.0,0.24770505787342445,0.629070248123211,0.12322469400336457
24500,0.0,0.0,0.29015226229215435,0.634785241231742,0.07506249647610369
24600,0.0,0.0,0.3453827735413219,0.6263782812866516,0.028238945172026523
24700,0.0,0.0,0.38782173900089206,0.6077140881226558,0.004464172876452051
24800,0.0,0.0,0.42365697089685445,0.5763430291031455,0.0
24900,0.0,0.0,0.46068365158240815,0.5393163484175919,0.0
25000,0.0,0.0,0.523211206401218,0.47678879359878207,0.0
25100,0.0,0.0,0.6136297814151096,0.38637021858489057,0.0
25200,0.0,0.0,0.7173889411580074,0.2826110588419926,0.0
25300,0.0,0.0,0.8218246825895907,0.17817531741040926,0.0
25400,0.0,0.0,0.9245373786232025,0.07546262137679755,0.0
25500,0.0,0.0,0.9869937753821069,0.013006224617893105,0.0
25600,0.0,0.0,1.0,0.0,0.0
25700,0.0,0.0,1.0,0.0,0.0
25800,0.0,0.0,1.0,0.0,0.0
25900,0.0,0.0,1.0,0.0,0.0
26000,0.0,0.0,1.0,0.0,0.0
26100,0.0,0.0,0.9522603758829621,0.04773962411703782,0.0
26200,0.0,0.0,0.7935996025606504,0.20640039743934965,0.0
26300,0.0,0.0,0.6428203440176985,0.35717965598230145,0.0
26400,0.0,0.0,0.5240101152144865,0.47598988478551363,0.0
26500,0.0,0.0,0.41578518251921953,0.5842148174807804,0.0
26600,0.0,0.0,0.3328056728114706,0.6671943271885293,0.0
26700,0.0,0.0,0.2685917307365204,0.7314082692634798,0.0
26800,0.0,0.0,0.21453474103534004,0.78546525896466,0.0
26900,0.0,0.0,0.1799042973706073,0.8200957026293927,0.0
27000,0.0,0.0,0.17743060731682897,0.822569392683171,0.0
27100,0.0,0.0,0.20304629574808622,0.7969537042519138,0.0
27200,0.0,0.0,0.2417622880034184,0.7582377119965816,0.0
27300,0.0,0.0,0.2942367417461982,0.7057632582538018,0.0
27400,0.0,0.0,0.3760109010102638,0.6239890989897362,0.0
27500,0.0,0.0,0.5151517821910404,0.4848482178089596,0.0
27600,0.0,0.0,0.6588608216659719,0.34113917833402807,0.0
27700,0.0,0.0,0.6990545633861756,0.30094543661382445,0.0
27800,0.0,0.0,0.7126427241544979,0.2873572758455021,0.0
27900,0.0,0.0,0.7571163348195225,0.24288366518047763,0.0
28000,0.0,0.0,0.8002096933979136,0.19979030660208638,0.0
28100,0.0,0.0,0.8236847850200635,0.17631521497993655,0.0
28200,0.0,0.0,0.8392990634666581,0.16070093653334191,0.0
28300,0.0,0.0,0.8477601477949107,0.15223985220508937,0.0
28400,0.0,0.0,0.8309728469697347,0.15275987954687853,0.016267273483386812
28500,0.0,0.0,0.7694817139660364,0.15880851591453532,0.07170977011942847
28600,0.0,0.0,0.6887133252409603,0.16873459245851988,0.1425520823005198
28700,0.0,0.0,0.607527217724288,0.1723278635006049,0.22014491877510728
28800,0.0,0.0,0.5562802679954555,0.16820902161297555,0.27551071039156894
28900,0.0,0.0,0.5525342232471231,0.15413337427073254,0.29333240248214437
29000,0.0,0.0,0.5765301988850435,0.13558472370513874,0.2878850774098177
29100,0.0,0.0,0.6110019620310372,0.1149385856301504,0.27405945233881246
29200,0.0,0.0,0.6431258963863052,0.09575915376142788,0.26111494985226696
29300,0.0,0.0,0.6815855869205141,0.08920754886084965,0.22920686421863623
29400,0.0,0.0,0.7272424274651805,0.08395173859932045,0.18880583393549918
29500,0.0,0.0,0.7847718124949682,0.07858073491109788,0.13664745259393402
29600,0.0,0.0,0.8536123944283693,0.07417879715772818,0.0722088084139026
29700,0.0,0.0,0.9284659401170595,0.07153405988294055,0.0
29800,0.0,0.0,0.933138239243118,0.06686176075688194,0.0
