purpose,h,arrival,departure
transport,15,0.009503161779735708,0.011169840232955792
transport,16,0.008468597582045077,0.006883002741927236
transport,17,0.002262746822308192,0.0019411225380256028
transport,18,0.0014030806327736713,0.0009975520232152993
transport,19,0.0016118996034930287,0.001152504915546954
transport,20,0.0004142937153900415,0.0004142937153900415
transport,21,3.103561081000242e-05,3.103561081000242e-05
transport,22,9.370994490773705e-05,9.370994490773705e-05
transport,25,5.7318810607831797e-05,5.7318810607831797e-05
work,2,0.00021627984597144166,0.0002645088541522592
work,3,0.00025323376156947627,0.0002390063229040945
work,4,0.0004693383886198948,0.0013584319122631626
work,5,0.006313186460487889,0.010230697399782253
work,6,0.014938093309630768,0.028168700145575997
work,7,0.03908169281926671,0.03274094130770922
work,8,0.027487632169369655,0.02368735391391302
work,9,0.013841466044240308,0.008398459226389243
work,10,0.003949745834292127,0.002509354714435154
work,11,0.002848045648729821,0.003734982928642148
work,12,0.011292189398576813,0.013666944620620763
work,13,0.008962085673679218,0.005568313757217811
work,14,0.0015951583809073503,0.001445470031141609
work,15,0.0017576963827115476,0.002221783005351674
work,16,0.0012413663543449835,0.001838499345375329
work,17,0.0020312374164821495,0.0006726842216547794
work,18,0.0004464706988438152,0.00037671505633955776
work,19,0.0005714151348873691,0.0005980499179922715
work,20,0.00038620092868242557,0.00021109602300897163
work,21,0.0005871439658738249,0.0003376859126982658
work,23,3.5308910139902024e-05,3.5308910139902024e-05
work_business,3,0.0,4.8229008180817564e-05
work_business,4,0.00013429612275723613,0.00013429612275723613
work_business,5,4.8229008180817564e-05,0.00016982276446754106
work_business,6,7.968387475878871e-05,0.0007874248145292967
work_business,7,0.0025009747769722222,0.003071374878999419
work_business,8,0.0024600649585482764,0.002739811259303281
work_business,9,0.002553425527243254,0.0016134730538415044
work_business,10,0.0010116429815502836,0.0007259722875212242
work_business,11,0.0006046246502440688,0.0005752129081325526
work_business,12,0.0006588031579406759,0.00044803203381582466
work_business,13,0.0008444281539542738,0.0009392242993695438
work_business,14,0.00036215848107227686,0.00035348442946043455
work_business,15,0.0009173327923721129,0.0008080728100698123
work_business,16,0.0002980837239241928,0.0009246995637947111
work_business,17,0.00126614133380199,0.0005992957695976856
work_business,18,0.00026588217253729516,0.00029922337575962214
work_business,19,0.0002361603625385718,4.282698795829669e-06
work_business,20,0.0,7.578625130980263e-05
work_business,23,2.100908845066766e-05,2.100908845066766e-05
work_business,24,7.578625130980263e-05,0.0
